Word,Occurrences,TotalSteps,AverageSteps
laid,46,46,1.0000
month,20,40,2.0000
confessed,9,27,3.0000
shouted,2,8,4.0000
confidingly,4,20,5.0000
removed,3,18,6.0000
carving,1,7,7.0000
established,1,8,8.0000
cornelius,1,9,9.0000
parasol,5,50,10.0000
coaches,1,11,11.0000
numbered,1,12,12.0000
thrills,1,13,13.0000
unforeseen,1,14,14.0000
scream,1,1,1.0000
procession,7,14,2.0000
seeing,30,90,3.0000
pantoufles,1,4,4.0000
demeanor,2,10,5.0000
respectful,8,48,6.0000
smart,6,42,7.0000
highly,9,72,8.0000
phenomenon,1,9,9.0000
eagles,1,10,10.0000
offers,5,55,11.0000
kenilworth,1,12,12.0000
wary,1,13,13.0000
melodramatic,7,7,1.0000
trembling,7,14,2.0000
personage,1,3,3.0000
asleep,32,128,4.0000
sincerest,2,10,5.0000
masquerade,3,18,6.0000
barred,1,7,7.0000
artificial,1,8,8.0000
nowadays,3,27,9.0000
mathematics,2,20,10.0000
bewilder,1,11,11.0000
rattlepated,2,24,12.0000
background,1,13,13.0000
scarabei,1,14,14.0000
englishmen,1,15,15.0000
admonitory,1,16,16.0000
unrequited,1,17,17.0000
vive,1,18,18.0000
rosebud,2,38,19.0000
effigy,1,20,20.0000
paris,12,12,1.0000
neither,27,54,2.0000
exultation,1,3,3.0000
apology,5,20,4.0000
rosiest,2,10,5.0000
emil,4,24,6.0000
fort,2,14,7.0000
matches,2,16,8.0000
morning,64,64,1.0000
hastily,11,22,2.0000
places,10,30,3.0000
relished,1,4,4.0000
pour,2,10,5.0000
messages,5,30,6.0000
nge,1,7,7.0000
effectually,4,32,8.0000
largest,1,9,9.0000
decision,7,70,10.0000
vale,1,11,11.0000
hugo,9,9,1.0000
ceiling,1,2,2.0000
disdainful,1,3,3.0000
patronizing,4,16,4.0000
wrathful,3,15,5.0000
groceries,1,6,6.0000
empress,1,7,7.0000
pinafores,2,16,8.0000
chains,4,4,1.0000
came,271,542,2.0000
ladder,5,15,3.0000
insulted,3,12,4.0000
blushing,4,20,5.0000
remonstrated,1,6,6.0000
beforehand,3,21,7.0000
marole,1,8,8.0000
privileges,1,9,9.0000
pharaohs,1,10,10.0000
duly,1,11,11.0000
hans,1,12,12.0000
imposing,2,26,13.0000
recollections,2,28,14.0000
wisdom,6,6,1.0000
carved,3,6,2.0000
sixty,3,9,3.0000
awe,1,4,4.0000
moan,3,15,5.0000
statuary,1,6,6.0000
concoction,1,7,7.0000
manliest,1,8,8.0000
paired,1,9,9.0000
erste,1,10,10.0000
laughed,79,79,1.0000
drank,5,10,2.0000
pine,1,3,3.0000
fitness,1,4,4.0000
bluntness,1,5,5.0000
worry,17,17,1.0000
peeped,13,26,2.0000
honest,12,36,3.0000
entered,7,28,4.0000
refreshing,7,35,5.0000
indian,3,18,6.0000
pummelled,1,7,7.0000
hugs,1,8,8.0000
alteration,1,9,9.0000
opens,3,30,10.0000
friendless,1,11,11.0000
lisp,1,1,1.0000
ohs,1,2,2.0000
impressively,3,9,3.0000
appetite,4,16,4.0000
broad,7,35,5.0000
autumn,5,30,6.0000
pianee,1,7,7.0000
perusal,1,8,8.0000
blanketed,1,9,9.0000
cuff,2,20,10.0000
performances,5,5,1.0000
apiece,4,8,2.0000
burning,7,21,3.0000
subsided,9,36,4.0000
idleness,1,5,5.0000
longings,2,12,6.0000
penances,1,7,7.0000
balky,1,8,8.0000
laundrywoman,1,9,9.0000
leaved,1,10,10.0000
chestnut,8,8,1.0000
masterpiece,1,2,2.0000
strongly,4,12,3.0000
homely,3,12,4.0000
sidling,1,5,5.0000
greatness,1,6,6.0000
frere,1,7,7.0000
street,20,20,1.0000
anywhere,11,22,2.0000
moat,1,3,3.0000
frame,6,24,4.0000
threshold,4,20,5.0000
simmer,1,6,6.0000
pink,13,13,1.0000
tutor,10,20,2.0000
sometimes,43,129,3.0000
waiter,1,4,4.0000
dumb,3,15,5.0000
presided,4,24,6.0000
wry,2,14,7.0000
tops,2,16,8.0000
published,1,9,9.0000
cheops,1,10,10.0000
dressmaking,1,11,11.0000
spritely,1,12,12.0000
berne,2,26,13.0000
list,1,14,14.0000
dress,76,76,1.0000
hagar,11,22,2.0000
lent,4,12,3.0000
armor,2,8,4.0000
pronounce,1,5,5.0000
college,20,120,6.0000
wash,14,98,7.0000
conceit,2,16,8.0000
surveyed,4,36,9.0000
midsummer,3,30,10.0000
partial,1,11,11.0000
thorn,2,24,12.0000
redder,6,6,1.0000
wreaths,2,4,2.0000
violently,3,9,3.0000
jewels,2,8,4.0000
ventures,1,5,5.0000
preventive,1,6,6.0000
forcibly,1,7,7.0000
winey,1,8,8.0000
does,86,86,1.0000
camp,8,16,2.0000
accompaniment,2,6,3.0000
instant,11,44,4.0000
velour,1,5,5.0000
tracy,1,6,6.0000
named,4,28,7.0000
surprisin,1,8,8.0000
kearney,2,18,9.0000
rothschilds,1,10,10.0000
applicable,1,11,11.0000
squabbled,1,12,12.0000
servants,12,12,1.0000
toe,1,2,2.0000
unquenchables,1,3,3.0000
outsiders,2,8,4.0000
bachelorhood,1,5,5.0000
alternations,1,6,6.0000
vladimir,1,7,7.0000
vehement,1,8,8.0000
defects,1,9,9.0000
led,24,24,1.0000
expensive,2,4,2.0000
luxury,11,33,3.0000
brighten,4,16,4.0000
wearing,7,35,5.0000
platform,2,12,6.0000
uncovered,2,14,7.0000
judged,2,16,8.0000
pearls,5,45,9.0000
holes,2,20,10.0000
stints,1,11,11.0000
addressed,1,12,12.0000
placed,3,39,13.0000
gentler,1,14,14.0000
righted,1,15,15.0000
girl,116,116,1.0000
worse,20,40,2.0000
learn,45,135,3.0000
requests,1,4,4.0000
quarrel,7,35,5.0000
redden,1,6,6.0000
lee,1,7,7.0000
conjured,1,8,8.0000
smash,1,9,9.0000
imperturbable,1,10,10.0000
enlightenment,1,11,11.0000
great,186,186,1.0000
spilled,1,2,2.0000
ached,4,12,3.0000
rock,1,4,4.0000
rubens,1,5,5.0000
effalunt,2,12,6.0000
impetuositys,1,7,7.0000
quite,181,181,1.0000
pins,8,16,2.0000
travel,5,15,3.0000
pardon,26,104,4.0000
domestic,12,60,5.0000
final,3,18,6.0000
cabbages,1,7,7.0000
leg,3,24,8.0000
proposal,1,9,9.0000
baptizing,1,10,10.0000
briton,1,11,11.0000
robert,1,12,12.0000
cakies,2,26,13.0000
cheap,6,6,1.0000
cover,16,32,2.0000
carefully,23,69,3.0000
maps,3,12,4.0000
godmother,2,10,5.0000
pint,1,6,6.0000
exclaim,5,35,7.0000
beginners,2,16,8.0000
brighter,2,18,9.0000
senna,1,10,10.0000
publishers,2,22,11.0000
rebelliously,3,36,12.0000
york,4,52,13.0000
piminy,1,1,1.0000
drafted,1,2,2.0000
dangers,1,3,3.0000
writers,1,4,4.0000
spell,7,35,5.0000
hired,1,6,6.0000
ups,1,7,7.0000
notice,10,80,8.0000
tearing,4,36,9.0000
heavens,2,20,10.0000
midnight,3,33,11.0000
dursnt,1,12,12.0000
dryly,1,13,13.0000
patriarch,1,14,14.0000
intellect,4,60,15.0000
orchards,1,16,16.0000
girlhood,1,17,17.0000
suffer,5,5,1.0000
choose,13,26,2.0000
doctor,14,42,3.0000
covet,1,4,4.0000
formal,4,20,5.0000
attended,1,6,6.0000
current,1,7,7.0000
frankness,5,40,8.0000
evolved,1,9,9.0000
stile,3,30,10.0000
shames,1,11,11.0000
burden,12,12,1.0000
sounded,14,28,2.0000
persons,10,30,3.0000
soiled,2,8,4.0000
injustice,2,10,5.0000
tom,2,12,6.0000
pointing,4,28,7.0000
shock,6,48,8.0000
flos,2,18,9.0000
destination,1,10,10.0000
rare,1,11,11.0000
speechless,2,2,1.0000
pegging,2,4,2.0000
cheat,3,9,3.0000
fatherless,1,4,4.0000
persisted,4,20,5.0000
shadows,2,12,6.0000
evelyn,1,7,7.0000
scribbling,4,32,8.0000
diary,1,9,9.0000
intended,4,40,10.0000
dollar,5,5,1.0000
too,198,396,2.0000
waited,20,60,3.0000
dictionaries,1,4,4.0000
